test_id,family,tf,lead,target,L,H,direction,thr_name,grid,cost,split,n,n_days,win,mean_net,sd,t,p_trade,t_day,p_day,p,n_h1,n_h2,mean_h1,mean_h2,mean_net_2x,thr,n_events,uncond_net,ic,first_date,last_date,mkt_ctrl,mkt_n,mkt_mean_net,mkt_t,own_ctrl,own_n,own_mean_net,own_t,q,beats_uncond,ctrl2_mean_net,ctrl2_n,beats_ctrl2,robust,candidate,g_n,g_halves
19423,F4,4h,NVDA,AMD,2,2,rev,0,eq,0.002,2026-04-27,49,49,0.69388,0.017649,0.037017,3.3375,0.00081976,3.3375,0.00081976,0.00081976,21,28,0.020526,0.015491,0.015649,0,174,0.0064272,-0.13156,2026-02-24,2026-06-30,SPY,45,0.014214,2.4416,AMD,39,0.010599,1.6669,1,True,0.014214,45,True,True,False,True,True
9326,F4,1h,QQQ,SOXL,3,3,cont,p70,eq,0.002,2026-04-27,32,32,0.71875,0.014368,0.025232,3.2211,0.0014977,3.2211,0.0014977,0.0014977,15,17,0.01332,0.015292,0.012368,0.010527,353,0.0022605,0.039658,2026-02-23,2026-06-30,SPY,31,0.0082812,1.4324,SOXL,32,0.014457,2.9949,1,True,0.0082812,31,True,True,False,True,True
9328,F4,1h,QQQ,SOXL,3,3,cont,p80,eq,0.002,2026-04-27,23,23,0.78261,0.014518,0.022365,3.1131,0.0025338,3.1131,0.0025338,0.0025338,13,10,0.015567,0.013154,0.012518,0.012702,353,0.0022605,0.039658,2026-02-23,2026-06-30,SPY,17,0.014978,1.7918,SOXL,24,0.015199,2.8135,1,True,0.014978,17,False,False,False,False,True
26578,F2,1d,XLM-USD,LINK-USD,3,3,cont,p80,cn,0.004,2023-01-01,72,72,0.63889,0.031715,0.096107,2.8001,0.0032878,2.8001,0.0032878,0.0032878,49,23,0.031476,0.032225,0.027715,0.082015,1455,0.00068152,0.021341,2021-01-05,2024-12-29,BTC-USD,83,0.0080123,0.84229,LINK-USD,88,-0.0042309,-0.40198,1,True,0.0080123,83,True,True,False,True,True
19435,F4,4h,NVDA,AMD,3,3,rev,0,eq,0.002,2026-04-27,34,34,0.61765,0.026236,0.053274,2.8716,0.0035409,2.8716,0.0035409,0.0035409,15,19,0.014319,0.035645,0.024236,0,172,0.01284,0.066407,2026-02-25,2026-06-29,SPY,33,0.016959,1.8252,AMD,31,0.015613,2.1751,1,True,0.016959,33,True,True,False,True,True
29935,F4,1d,NVDA,AVGO,3,3,rev,0,eq,0.002,2023-01-01,181,181,0.58564,0.0081812,0.041455,2.6551,0.0043196,2.6551,0.0043196,0.0043196,96,85,0.0045431,0.01229,0.0061812,0,999,0.0025089,-0.056574,2021-01-08,2024-12-27,SPY,185,0.0050328,1.6786,AVGO,201,0.0038091,1.4616,1,True,0.0050328,185,True,True,False,True,True
9296,F4,1h,QQQ,TQQQ,3,3,cont,p70,eq,0.002,2026-04-27,32,32,0.625,0.0070787,0.014355,2.7895,0.0044728,2.7895,0.0044728,0.0044728,15,17,0.0080952,0.0061818,0.0050787,0.010527,353,-0.0010176,0.058845,2026-02-23,2026-06-30,SPY,31,0.0025797,0.85296,TQQQ,32,0.0068236,2.6707,1,True,0.0025797,31,True,True,False,True,True
19573,F4,4h,NVDA,SOXL,2,2,rev,0,eq,0.002,2026-04-27,49,49,0.71429,0.034432,0.089817,2.6836,0.0049825,2.6836,0.0049825,0.0049825,21,28,0.028352,0.038993,0.032433,0,174,0.01119,-0.11636,2026-02-24,2026-06-30,SPY,45,0.027041,1.9077,SOXL,35,0.023901,1.4326,1,True,0.027041,45,True,True,False,True,True
24215,F2,1d,BCH-USD,ATOM-USD,1,1,rev,p80,cn,0.004,2023-01-01,141,141,0.58156,0.018492,0.084764,2.5906,0.0052981,2.5906,0.0052981,0.0052981,95,46,0.024357,0.0063803,0.014492,0.050907,1459,-0.0022365,-0.074527,2021-01-03,2024-12-31,BTC-USD,129,0.010111,1.3386,ATOM-USD,136,0.011826,1.6673,1,True,0.010111,129,True,True,False,True,True
19585,F4,4h,NVDA,SOXL,3,3,rev,0,eq,0.002,2026-04-27,34,34,0.55882,0.046444,0.10195,2.6562,0.0060386,2.6562,0.0060386,0.0060386,15,19,0.016067,0.070427,0.044444,0,172,0.02068,-0.025654,2026-02-25,2026-06-29,SPY,33,0.032713,1.6057,SOXL,30,0.022496,1.007,1,True,0.032713,33,True,True,False,True,True
