family,lead,target,tf,L,H,direction,thr_name,n,mean_net,t,p,q,ic_L1H1,robust
F1,BTC-USD,COIN,1d,2,2,rev,p70,83,0.011419,1.389,0.08429,1,0.028369,True
F1,BTC-USD,COIN,1h,3,3,cont,p70,29,0.0020086,0.46454,0.32658,1,0.039401,False
F1,BTC-USD,COIN,4h,3,1,rev,0,90,0.0017727,0.65781,0.25618,1,-0.011702,True
F1,BTC-USD,CONL,1d,2,2,rev,p80,31,0.060045,2.593,0.0072832,1,-0.050586,True
F1,BTC-USD,CONL,1h,3,3,cont,p70,29,0.0057271,0.70166,0.25009,1,0.030523,False
F1,BTC-USD,CONL,4h,3,1,rev,0,90,0.0058591,1.0768,0.14225,1,-0.012952,True
F1,BTC-USD,HOOD,1d,3,3,rev,p80,41,0.024786,1.6115,0.057473,1,0.015468,True
F1,BTC-USD,HOOD,1h,3,3,cont,p70,29,0.0031419,0.98922,0.16551,1,-0.024167,False
F1,BTC-USD,HOOD,4h,3,1,rev,0,90,0.0039754,1.3349,0.09266,1,0.00735,True
F1,BTC-USD,IBIT,1d,3,3,rev,p80,11,0.031564,2.062,0.033083,1,-0.071365,False
F1,BTC-USD,IBIT,1h,2,2,rev,p80,27,-0.0014766,-0.89682,0.81098,1,-0.019342,False
F1,BTC-USD,IBIT,4h,3,3,rev,p80,14,0.0027125,0.22061,0.41441,1,-0.014527,False
F1,BTC-USD,MARA,1d,2,2,rev,p70,87,0.020403,2.0676,0.02084,1,-0.0048777,True
F1,BTC-USD,MARA,1h,3,3,cont,p70,29,0.00030023,0.048595,0.48079,1,0.017169,False
F1,BTC-USD,MARA,4h,2,2,rev,p70,26,0.01949,1.8634,0.0371,1,-0.033916,False
F1,BTC-USD,MSTR,1d,2,2,cont,p80,79,0.021657,2.5534,0.0063085,1,0.023842,True
F1,BTC-USD,MSTR,1h,3,3,rev,0,105,-0.0024244,-1.0396,0.85667,1,-0.024195,False
F1,BTC-USD,MSTR,4h,3,3,cont,0,40,-0.0016111,-0.22,0.58649,1,-0.025843,False
F1,BTC-USD,RIOT,1d,2,2,rev,p70,87,0.014075,1.5788,0.05903,1,-0.0072697,True
F1,BTC-USD,RIOT,1h,2,2,cont,p80,35,-0.0011281,-0.32719,0.62756,1,0.00044339,False
F1,BTC-USD,RIOT,4h,2,2,cont,0,54,0.012441,2.1958,0.016253,1,-0.0003234,True
F1,BTC-USD,SBIT,1d,1,1,cont,0,91,0.0023366,0.52735,0.29962,1,-0.038874,False
F1,BTC-USD,SBIT,1h,3,3,rev,p70,27,0.0029109,1.0653,0.14827,1,-0.012657,False
F1,BTC-USD,SBIT,4h,3,3,cont,p80,10,0.024726,2.1742,0.028857,1,0.024899,False
F1,ETH-USD,COIN,1d,2,2,cont,p70,112,0.01076,1.5527,0.061666,1,0.027937,True
F1,ETH-USD,COIN,1h,2,2,cont,p80,30,0.0024935,0.81951,0.21355,1,0.04201,False
F1,ETH-USD,COIN,4h,3,1,rev,0,94,0.0041125,1.5163,0.066422,1,-0.016778,True
F1,ETH-USD,ETHA,1d,3,3,rev,p70,11,0.017995,1.2833,0.11416,1,0.0128,False
F1,ETH-USD,ETHA,1h,3,3,cont,0,85,-0.00056563,-0.4766,0.68256,1,-0.017556,False
F1,ETH-USD,ETHA,4h,2,1,cont,p80,13,0.0018906,0.3956,0.34967,1,-0.02318,False
F1,XRP-USD,XRP,1h,3,3,rev,p80,21,0.0012219,0.58784,0.28161,1,-0.020954,False
F1,XRP-USD,XRP,4h,2,1,cont,p80,17,0.0024597,0.68699,0.25096,1,0.11219,False
F1,XRP-USD,XXRP,1h,3,3,rev,p80,21,0.0048796,1.0687,0.14898,1,-0.043665,False
F1,XRP-USD,XXRP,4h,2,1,cont,p80,17,0.0066155,0.98279,0.17017,1,0.10824,False
F2,ADA-USD,ATOM-USD,1d,1,1,rev,p70,209,0.0078327,1.553,0.060973,1,-0.023376,True
F2,ADA-USD,ATOM-USD,1h,1,1,cont,0,7737,-0.0040591,-42.23,1,1,0.021874,False
F2,ADA-USD,ATOM-USD,4h,3,3,cont,p80,208,-0.00029582,-0.12598,0.55007,1,0.029544,False
F2,ADA-USD,AVAX-USD,1d,2,2,cont,p80,83,0.010538,1.1439,0.128,1,-0.012802,False
F2,ADA-USD,AVAX-USD,1h,3,3,rev,p80,862,-0.0035376,-4.6903,1,1,0.014045,False
F2,ADA-USD,AVAX-USD,4h,3,3,cont,p80,208,-0.00035529,-0.14427,0.55729,1,0.016549,False
F2,ADA-USD,BCH-USD,1d,1,1,rev,p80,137,0.0066551,1.0126,0.15653,1,-0.022217,True
F2,ADA-USD,BCH-USD,1h,3,3,rev,p80,862,-0.0029835,-4.5665,1,1,0.025106,False
F2,ADA-USD,BCH-USD,4h,3,3,cont,p80,208,-5.9911e-05,-0.027607,0.51139,1,0.0022897,False
F2,ADA-USD,BTC-USD,1d,3,3,rev,p80,77,0.0062781,0.81744,0.20811,1,-0.05459,True
F2,ADA-USD,BTC-USD,1h,1,1,cont,0,7737,-0.0040064,-71.296,1,1,0.018295,False
F2,ADA-USD,BTC-USD,4h,3,3,cont,p80,208,-0.0028549,-2.1531,0.98377,1,0.04598,False
F2,ADA-USD,DOGE-USD,1d,2,2,cont,p80,91,0.011609,1.3808,0.085379,1,-0.022479,False
F2,ADA-USD,DOGE-USD,1h,3,3,rev,p80,862,-0.0034923,-4.4471,0.99999,1,0.01935,False
F2,ADA-USD,DOGE-USD,4h,3,3,cont,p80,208,-4.717e-05,-0.015108,0.50602,1,0.031962,False
F2,ADA-USD,DOT-USD,1d,1,1,rev,p80,127,0.0053367,1.0522,0.14736,1,0.0061496,True
F2,ADA-USD,DOT-USD,1h,1,1,cont,0,7737,-0.0041177,-39.757,1,1,0.017557,False
F2,ADA-USD,DOT-USD,4h,3,3,cont,p80,208,0.00048522,0.17361,0.43215,1,0.024968,False
F2,ADA-USD,ETH-USD,1d,1,1,rev,p70,209,0.0023404,0.64635,0.25938,1,-0.038955,False
F2,ADA-USD,ETH-USD,1h,1,1,cont,0,7737,-0.0039264,-48.264,1,1,0.04343,False
F2,ADA-USD,ETH-USD,4h,3,3,cont,p80,208,-0.0018123,-0.86342,0.80555,1,0.068996,False
F2,ADA-USD,LINK-USD,1d,3,3,rev,p80,77,0.016196,1.0807,0.14161,1,-0.020263,False
F2,ADA-USD,LINK-USD,1h,3,3,rev,p80,862,-0.0031597,-4.1414,0.99998,1,0.015457,False
F2,ADA-USD,LINK-USD,4h,3,3,cont,p80,208,0.00096595,0.37999,0.35986,1,0.035255,False
F2,ADA-USD,LTC-USD,1d,3,3,rev,p80,77,0.0070591,0.68142,0.24884,1,-0.020626,False
F2,ADA-USD,LTC-USD,1h,1,1,cont,0,7737,-0.0040319,-42.231,1,1,0.0083055,False
F2,ADA-USD,LTC-USD,4h,3,3,cont,p80,208,-0.00096224,-0.45518,0.68268,1,0.0084892,False
F2,ADA-USD,SHIB-USD,1d,2,2,cont,p70,125,0.019104,1.8282,0.034959,1,-0.01905,False
F2,ADA-USD,SHIB-USD,1h,1,1,cont,0,7737,-0.0040841,-40.665,1,1,0.012504,False
F2,ADA-USD,SHIB-USD,4h,3,3,rev,p80,211,-0.0014574,-0.55746,0.71459,1,0.017693,False
F2,ADA-USD,SOL-USD,1d,3,3,cont,0,263,0.011067,1.8858,0.030213,1,-0.02134,True
F2,ADA-USD,SOL-USD,1h,3,3,rev,p80,862,-0.0029394,-4.2351,0.99999,1,0.01088,False
F2,ADA-USD,SOL-USD,4h,3,3,cont,p80,208,-0.0012948,-0.6093,0.72994,1,0.044869,False
F2,ADA-USD,UNI-USD,1d,3,3,rev,p70,107,0.018816,1.5553,0.061427,1,-0.04082,True
F2,ADA-USD,UNI-USD,1h,3,3,cont,p80,866,-0.0034614,-4.7492,1,1,0.010211,False
F2,ADA-USD,UNI-USD,4h,3,3,cont,p80,208,0.00087047,0.29435,0.39085,1,0.023006,False
F2,ADA-USD,XLM-USD,1d,3,3,rev,p80,77,0.012728,1.2031,0.11633,1,0.042982,True
F2,ADA-USD,XLM-USD,1h,3,3,rev,p80,862,-0.0029042,-3.5812,0.99984,1,0.014318,False
F2,ADA-USD,XLM-USD,4h,3,3,cont,p80,208,0.001531,0.41992,0.34735,1,-0.0040396,False
F2,ADA-USD,XRP-USD,1d,3,3,cont,p80,33,0.051277,2.1655,0.018955,1,0.10511,False
F2,ADA-USD,XRP-USD,1h,3,3,rev,p80,862,-0.0023718,-2.8809,0.99804,1,-0.009436,False
F2,ADA-USD,XRP-USD,4h,3,3,cont,p80,208,0.00021631,0.078971,0.46857,1,0.0083612,False
F2,ATOM-USD,ADA-USD,1d,1,1,rev,p70,209,0.0054179,1.3749,0.085319,1,-0.074758,True
F2,ATOM-USD,ADA-USD,1h,3,3,rev,p70,1273,-0.0027358,-3.6291,0.99985,1,-0.018922,False
F2,ATOM-USD,ADA-USD,4h,3,3,rev,p80,208,-0.0038169,-1.3212,0.90605,1,-0.002046,False
F2,ATOM-USD,AVAX-USD,1d,3,3,rev,p80,72,0.013582,1.0824,0.14137,1,-0.068976,True
F2,ATOM-USD,AVAX-USD,1h,3,3,rev,p80,865,-0.0031475,-4.3849,0.99999,1,-0.0063693,False
F2,ATOM-USD,AVAX-USD,4h,3,3,rev,p80,208,-0.0043642,-1.5667,0.94065,1,-0.012406,False
F2,ATOM-USD,BCH-USD,1d,1,1,rev,p70,220,0.0075977,1.6197,0.053372,1,-0.062995,False
F2,ATOM-USD,BCH-USD,1h,3,3,rev,p80,865,-0.0030024,-4.492,1,1,-0.0030342,False
F2,ATOM-USD,BCH-USD,4h,3,3,rev,p80,208,-0.0020192,-0.76965,0.77881,1,-0.0050048,False
